flow_a,flow_b,ip_a,ip_b,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,flow_byts_s,flow_pkts_s,fwd_pkts_s,pkt_len_mean,pkt_len_std,pkt_len_max,pkt_len_min,flow_iat_mean,flow_iat_std,fwd_iat_mean,bwd_iat_mean,down_up_ratio,fwd_pkt_len_mean,fwd_pkt_len_max,bwd_pkt_len_mean,bwd_pkt_len_max,syn_flag_cnt,ack_flag_cnt,fin_flag_cnt,rst_flag_cnt,psh_flag_cnt,urg_flag_cnt,init_fwd_win_byts,init_bwd_win_byts,ip_version,ip_ttl_mean,ip_ttl_std,ip_len_mean,ip_len_std,ip_flag_df_rate,ip_flag_mf_rate,tcp_win_size_mean,tcp_win_size_std,tcp_seq_mean_delta,tcp_ack_mean_delta,label
s3-2022-04-29-1215-ens4f0-2022-04-29-1215-293532,s3-2022-04-29-1215-ens4f3-2022-04-29-1215-94583,169.231.92.97,169.231.26.125,11.0,8.173255,50.0,0.0,9693.00365,134.602743,134.602743,6.039548,8.1364,0.0,15.0,0.134077,0.587728,0.134077,0.0,0.0,6.039548,0.0,0.0,0.0,2.0,7.0,1.0,0.0,1.0,0.0,64240.0,0.0,0.0,0.0,0.0,287.931034,359.628948,1.0,0.0,8929.125,20905.545726,508.285714,488470176.0,0
s3-2022-04-29-1215-ens4f0-2022-04-29-1215-293532,s3-2022-04-29-1215-ens4f3-2022-04-29-1215-279282,169.231.92.97,169.231.211.119,11.0,121.80836,61.0,0.0,489.919637,6.240271,6.240271,0.922881,6.572058,0.0,9.0,0.950803,3.124333,0.950803,0.0,0.0,0.922881,0.0,0.0,0.0,2.0,118.0,0.0,0.0,49.0,0.0,65535.0,0.0,0.0,0.0,0.0,34.109605,22.297418,1.0,0.0,1400.72619,4963.48345,114.149701,42254026.227545,0
s3-2022-04-29-1215-ens4f2-2022-04-29-1215-9221,s3-2022-04-29-1215-ens4f0-2022-04-29-1215-153562,169.231.92.97,169.231.93.42,0.0,131.532513,74.0,0.0,3132.394204,40.137918,40.137918,2.198939,3.000888,0.0,0.0,1.506599,5.234641,1.506599,0.0,0.0,2.198939,0.0,0.0,0.0,2.0,74.0,1.0,0.0,38.0,0.0,65034.0,0.0,0.0,5.0,0.0,120.856771,218.815472,0.0,0.0,5077.645833,18077.149493,111.098783,172.463136,0
s3-2022-04-29-1215-ens4f2-2022-04-29-1215-9221,s3-2022-04-29-1215-ens4f0-2022-04-29-1215-313301,169.231.92.97,169.231.40.49,0.0,44.189672,83.0,1.0,39.528754,0.631432,0.637113,392.924138,470.027184,1347.0,146.0,42.477054,70.920682,57.147124,0.0,0.25,151.224138,145.0,1440.0,1440.0,0.0,82.0,0.0,0.0,38.0,0.0,13.0,8008.0,0.0,67.666667,4.714045,348.976562,188.538696,0.0,0.0,2510.395833,3532.786854,1683849610.792126,1691798766.626772,0
s3-2022-04-29-1215-ens4f3-2022-04-29-1215-351172,s2-2022-04-29-1215-ens4f3-2022-04-29-1215-454276,169.231.92.97,169.231.50.131,11.0,0.461598,5.0,0.0,3544.141689,51.445044,51.445044,9.014706,6.128046,0.0,15.0,0.024544,0.097234,0.024544,0.0,0.0,9.014706,0.0,0.0,0.0,2.0,12.0,0.0,0.0,3.0,0.0,65535.0,0.0,0.0,53.909091,0.28748,103.835227,138.938388,1.0,0.0,13407.090909,16484.292267,609.9,209.7,0
s3-2022-04-29-1215-ens4f3-2022-04-29-1215-351172,s3-2022-04-29-1215-ens4f1-2022-04-29-1215-38712,169.231.92.97,169.231.162.106,11.0,122.948152,4.0,0.0,2285.062968,27.619518,27.619518,8.158371,1.39759,0.0,9.0,10.258454,15.257808,10.258454,0.0,0.0,8.158371,0.0,0.0,0.0,0.0,13.0,0.0,0.0,12.0,0.0,174.0,0.0,0.0,168.176471,0.984306,67.5625,272.47047,1.0,0.0,234.352941,34.761272,245.6875,899.125,0
s3-2022-04-29-1215-ens4f0-2022-04-29-1215-295471,s3-2022-04-29-1215-ens4f2-2022-04-29-1215-256294,169.231.69.44,169.231.56.31,11.0,59.695892,1.0,2.0,2803.829928,33.020052,33.053321,134.404762,345.812032,1347.0,13.0,4.26168,11.848772,4.977355,0.0,0.153846,110.532967,1347.0,375.5,571.0,2.0,15.0,1.0,0.0,5.0,0.0,26883.0,514.0,0.0,90.0,36.742346,114.203297,34.863211,0.0,0.0,2081.5,6880.119753,391704356.846154,391703969.230769,0
s3-2022-04-29-1215-ens4f0-2022-04-29-1215-295471,s3-2022-04-29-1215-ens4f0-2022-04-29-1215-348037,169.231.69.44,169.231.124.231,0.0,59.885014,10.0,1.0,11724.049244,17.015455,12.732481,461.916667,118.177758,0.0,87.0,4.216822,11.861496,4.893883,0.0,0.179487,233.205129,869.0,1064.5,869.0,2.0,11.0,1.0,0.0,2.0,0.0,22787.0,499.0,0.0,159.0,29.671278,209.97619,47.427521,0.333333,0.0,654.166667,4956.317904,203805112.653846,203801150.769231,0
s3-2022-04-29-1215-ens4f0-2022-04-29-1215-613664,s3-2022-04-29-1215-ens4f0-2022-04-29-1215-716403,169.231.69.44,169.231.40.177,11.0,0.023335,7.0,1.0,26929.009847,47.228156,59.959549,606.6,449.838744,1347.0,113.0,0.014862,0.00958,0.027953,0.0,0.333333,356.766667,478.0,1440.0,1440.0,0.0,4.0,0.0,0.0,3.0,0.0,514.0,110.0,0.0,101.0,49.497475,338.111111,103.943492,0.0,0.0,379.333333,190.447426,3365471162.5,3365473610.0,0
s3-2022-04-29-1215-ens4f0-2022-04-29-1215-613664,s3-2022-04-29-1215-ens4f2-2022-04-29-1215-499231,169.231.69.44,169.231.128.81,0.0,25.55439,56.0,77.0,34723.853759,45.580886,35.892453,608.127737,448.401848,1347.0,114.0,0.162295,1.888997,0.402634,0.332867,0.988701,366.429379,478.0,1351.474359,1347.0,3.0,131.0,0.0,0.0,42.0,0.0,65021.0,65425.0,0.0,63.779412,19.123896,83.789215,121.444011,0.573529,0.0,1594.916667,7621.494097,3091078640.440741,3091485820.82963,0
